"","artg","date","gmdn_desc","ppe","covid"
"96","321325",2019-08-06,"surgical procedure kit, laparoscopic, single-use, non-medicated",FALSE,FALSE
"97","321326",2019-08-06,"medicine chamber spacer",FALSE,FALSE
"98","321327",2019-08-06,"heating unit, pad, air",FALSE,FALSE
"99","321328",2019-08-06,"automated lensmeter",FALSE,FALSE
"100","321329",2019-08-06,"connector, <specify>",FALSE,FALSE
"101","321330",2019-08-06,"towel, medical/surgical",FALSE,FALSE
"102","321336",2019-08-06,"tube, tracheostomy, single use",FALSE,FALSE
"103","321338",2019-08-06,"pressure monitor, tube cuff",FALSE,FALSE
"104","321340",2019-08-06,"cover, ultrasonic probe, intraoperative",FALSE,FALSE
"105","321351",2019-08-06,"holder, needle",FALSE,FALSE
"106","321352",2019-08-06,"oral/enteral syringe, reusable",FALSE,FALSE
"107","321353",2019-08-06,"hearing aid fitting/programming application software",FALSE,FALSE
"108","321360",2019-08-07,"workstation, diagnostic imaging, x-ray system",FALSE,FALSE
"109","321361",2019-08-07,"dental treatment application software",FALSE,FALSE
"110","321362",2019-08-07,"biventricular pacemaker/defibrillator",FALSE,FALSE
"111","321363",2019-08-07,"biventricular pacemaker/defibrillator",FALSE,FALSE
"112","321380",2019-08-07,"sealing unit, packaging",FALSE,FALSE
"113","321381",2019-08-07,"electrode, <specify>",FALSE,FALSE
"114","321382",2019-08-07,"ct",FALSE,FALSE
"115","321383",2019-08-07,"endoscopic bite block, oxygenating",FALSE,FALSE
"116","321384",2019-08-07,"gel, ultrasonic coupling",FALSE,FALSE
"117","321385",2019-08-07,"electrical probe/electrode conductive pad",FALSE,FALSE
"118","321386",2019-08-07,"bite relief pad, dental",FALSE,FALSE
"119","321387",2019-08-07,"walking aid, two arms, frame, wheeled",FALSE,FALSE
"120","321388",2019-08-07,"medical device electrical cable, general purpose",FALSE,FALSE
"121","321412",2019-08-07,"mirror, dental, hand-held",FALSE,FALSE
"122","321413",2019-08-07,"tweezers, dental, dressing",FALSE,FALSE
"123","321414",2019-08-07,"crown/bridge, temporary, polymer based",FALSE,FALSE
"124","321415",2019-08-07,"surgical procedure kit, dental, non-medicated, single-use",FALSE,FALSE
"125","321416",2019-08-07,"dental anaesthesia syringe/needle",FALSE,FALSE
"126","321417",2019-08-07,"descending thoracic aorta endovascular stent-graft",FALSE,FALSE
"127","321418",2019-08-07,"interspinous spinal fixation implant",FALSE,FALSE
"128","321420",2019-08-07,"open-surgery electrosurgical handpiece/electrode, monopolar, single-use",FALSE,FALSE
"129","321440",2019-08-08,"acetabular shell",FALSE,FALSE
"130","321441",2019-08-08,"acetabular shell",FALSE,FALSE
"131","321442",2019-08-08,"peripheral venous endovascular stent-graft",FALSE,FALSE
"132","321443",2019-08-08,"sterilizer, moist heat, wrapped goods",FALSE,FALSE
"133","321444",2019-08-08,"orthopaedic fixation plate, non-biodegradable",FALSE,FALSE
"134","321445",2019-08-08,"ct",FALSE,FALSE
"135","321446",2019-08-08,"catheter, suction, general-purpose",FALSE,FALSE
"136","321447",2019-08-08,"suction system tubing",FALSE,FALSE
"137","321460",2019-08-08,"mask, air/oxygen",FALSE,FALSE
"138","321461",2019-08-08,"scanning dental implant abutment",FALSE,FALSE
"139","321462",2019-08-08,"dental implant analog",FALSE,FALSE
"140","321463",2019-08-08,"clamp, <specify>",FALSE,FALSE
"141","321464",2019-08-08,"pressure alleviation pad, <specify>",FALSE,FALSE
"142","321465",2019-08-08,"stimulator, electrical, analgesic, spinal cord",FALSE,FALSE
"143","321466",2019-08-08,"infrared-light vein locater",FALSE,FALSE
"144","321467",2019-08-08,"light, dental, polymerization activator",FALSE,FALSE
"145","321468",2019-08-08,"immobilizer, shoulder",FALSE,FALSE
"146","321469",2019-08-08,"heat/moisture exchanger, antimicrobial",FALSE,FALSE
"147","321476",2019-08-08,"stomal depth sizer",FALSE,FALSE
"148","321477",2019-08-08,"ct",FALSE,FALSE
"149","321478",2019-08-08,"elevator, orthopaedic",FALSE,FALSE
"150","321479",2019-08-08,"laparoscopic electrosurgical scissors",FALSE,FALSE
"151","321481",2019-08-08,"orthopaedic surgical cutter",FALSE,FALSE
"152","321500",2019-08-08,"light system sterile handle cover, single-use",FALSE,FALSE
"153","321501",2019-08-08,"ct",FALSE,FALSE
"154","321522",2019-08-09,"pressure-wave skin contouring system applicator, electromagnetic",FALSE,FALSE
"155","321526",2019-08-09,"glaucoma micro-stent",FALSE,FALSE
"156","321527",2019-08-09,"earmould impression kit",FALSE,FALSE
"157","321528",2019-08-09,"dental solution, cleansing",FALSE,FALSE
"158","321529",2019-08-09,"retractor, dental",FALSE,FALSE
"159","321530",2019-08-09,"tray, impression, dental",FALSE,FALSE
"160","321532",2019-08-09,"pusher, orthodontic, band",FALSE,FALSE
"161","321533",2019-08-09,"explorer, dental, hand-held",FALSE,FALSE
"162","321534",2019-08-09,"self-ligating orthodontic bracket tool",FALSE,FALSE
"163","321535",2019-08-09,"dental abrasive strip, reusable",FALSE,FALSE
"164","321536",2019-08-09,"orthodontic positioner seater",FALSE,FALSE
"165","321537",2019-08-09,"nitrile examination/treatment glove, non-powdered",TRUE,FALSE
"166","321539",2019-08-09,"holder, <specify>",FALSE,FALSE
"167","321540",2019-08-09,"eye dropper bottle aid",FALSE,FALSE
"168","321541",2019-08-09,"lift, patient transfer, sling/harness/strap",FALSE,FALSE
"169","321542",2019-08-09,"lift, patient transfer, sling/harness/strap",FALSE,FALSE
"170","321543",2019-08-09,"test instrument, <specify>",FALSE,FALSE
"171","321544",2019-08-09,"medicine administration kit, percutaneous, medicated, single-use",FALSE,FALSE
"172","321545",2019-08-09,"oral mucositis cryotherapy mouthpiece",FALSE,FALSE
"173","321556",2019-08-09,"dental material, root-filling, polymer-based",FALSE,FALSE
"174","321557",2019-08-09,"line-powered surgical drilling system",FALSE,FALSE
"175","321558",2019-08-09,"brush, prophylaxis, teeth",FALSE,FALSE
"176","321559",2019-08-09,"medicine administration kit, percutaneous, medicated, single-use",FALSE,FALSE
"177","321561",2019-08-09,"absorbent point, dental",FALSE,FALSE
"178","321563",2019-08-09,"bioelectrical signal processing application software",FALSE,FALSE
"179","321564",2019-08-09,"reverse-osmosis water purification system",FALSE,FALSE
"180","321567",2019-08-09,"medicine administration kit, percutaneous, medicated, single-use",FALSE,FALSE
"181","321580",2019-08-10,"sensor, oxygen",FALSE,FALSE
"182","321581",2019-08-10,"screw endosteal dental implant, one-piece",FALSE,FALSE
"183","321583",2019-08-10,"electrosurgical system generator, general-purpose",FALSE,FALSE
"184","321584",2019-08-10,"bone biopsy needle",FALSE,FALSE
"185","321585",2019-08-10,"heating unit, pad, air, control unit",FALSE,FALSE
"186","321586",2019-08-10,"blood donor set, single-pack",FALSE,FALSE
"187","321587",2019-08-10,"stationary intraoral dental x-ray system, digital",FALSE,FALSE
"188","321588",2019-08-10,"scaler system tip, periodontic, ultrasonic",FALSE,FALSE
"189","321603",2019-08-12,"stent, vascular, intracranial",FALSE,FALSE
"190","321607",2019-08-12,"uncoated hip femur prosthesis, modular",FALSE,FALSE
"191","321608",2019-08-12,"uncoated hip femur prosthesis, modular",FALSE,FALSE
"192","321609",2019-08-12,"coated hip femur prosthesis, modular",FALSE,FALSE
"193","321611",2019-08-12,"retractor system, self-retaining",FALSE,FALSE
"194","321612",2019-08-12,"bag, medical device, reusable",FALSE,FALSE
"195","321613",2019-08-12,"tubing, <specify>",FALSE,FALSE
"196","321614",2019-08-12,"abdominal binder, single-use",FALSE,FALSE
"197","321615",2019-08-12,"holder, set, dialysis",FALSE,FALSE
"198","321616",2019-08-12,"electrode, electrocardiograph, single use",FALSE,FALSE
"199","321618",2019-08-12,"gel, ultrasonic coupling",FALSE,FALSE
"200","321619",2019-08-12,"cuff, blood pressure, reusable",FALSE,FALSE
"201","321620",2019-08-12,"patient monitor remote control",FALSE,FALSE
"202","321621",2019-08-12,"rechargeable professional automated external defibrillator",FALSE,FALSE
"203","321622",2019-08-12,"electrocardiographic recording paper",FALSE,FALSE
"204","321623",2019-08-12,"multifunction cardiac electrode, adult",FALSE,FALSE
"205","321624",2019-08-12,"stretcher, hospital",FALSE,FALSE
"206","321626",2019-08-12,"condensate trap, general-purpose, reusable",FALSE,FALSE
"207","321627",2019-08-12,"cannula, nasal, carbon dioxide sampling",FALSE,FALSE
"208","321628",2019-08-12,"glove, <specify>",FALSE,FALSE
"209","321629",2019-08-12,"endoscopic forceps, biopsy, laparoscope, rigid",FALSE,FALSE
"210","321630",2019-08-12,"brush, cleaning, bur",FALSE,FALSE
"211","321638",2019-08-12,"mask, air/oxygen",FALSE,FALSE
"212","321639",2019-08-12,"skin stapler",FALSE,FALSE
"213","321640",2019-08-12,"tube, feeding, gastrostomy",FALSE,FALSE
"214","321641",2019-08-12,"stomal appliance sizer",FALSE,FALSE
"215","321642",2019-08-12,"electrosurgical diathermy system cable, single-use",FALSE,FALSE
"216","321648",2019-08-12,"dental amalgam alloy dispenser",FALSE,FALSE
"217","321649",2019-08-12,"calliper, general-purpose",FALSE,FALSE
"218","321650",2019-08-12,"dental rubber dam clamp forceps",FALSE,FALSE
"219","321667",2019-08-12,"foetal doppler system",FALSE,FALSE
"220","321668",2019-08-12,"foetal doppler system",FALSE,FALSE
"221","321669",2019-08-12,"cryogenic spray, cutaneous",FALSE,FALSE
"222","321670",2019-08-12,"thermometer, infrared, skin",FALSE,TRUE
"223","321682",2019-08-12,"telemetry system, physiological signal",FALSE,FALSE
"224","321683",2019-08-12,"sterile ultrasound coupling gel",FALSE,FALSE
"225","321685",2019-08-12,"stereotactic surgery system, neurological",FALSE,FALSE
"226","321686",2019-08-12,"stereotactic surgery system, neurological",FALSE,FALSE
"227","321687",2019-08-12,"x-ray system, diagnostic, computed tomography, full-body",FALSE,FALSE
"228","321688",2019-08-12,"microbial medical gas filter, non-sterile, reusable",FALSE,FALSE
"229","321700",2019-08-13,"intracranial haematoma detector",FALSE,FALSE
"230","321701",2019-08-13,"fluid transfer tube, general-purpose",FALSE,FALSE
"231","321702",2019-08-13,"first aid kit, medicated",FALSE,FALSE
"232","321703",2019-08-13,"breathing circuit, ventilator, single use",FALSE,FALSE
"233","321704",2019-08-13,"nebulizing system delivery set, reusable",FALSE,FALSE
"234","321705",2019-08-13,"cover, ultrasonic probe, intraoperative",FALSE,FALSE
"235","321706",2019-08-13,"multi-purpose surgical mesh, collagen",FALSE,FALSE
"236","321707",2019-08-13,"dressing, highly-absorbent, hydrophilic gel-forming, antimicrobial",FALSE,FALSE
"237","321708",2019-08-13,"lice treatment solution, natural",FALSE,FALSE
"238","321724",2019-08-13,"lubricant, eye",FALSE,FALSE
"239","321726",2019-08-13,"heart-lung bypass system module, detector, air/fluid level",FALSE,FALSE
"240","321729",2019-08-13,"sensor, oxygen",FALSE,FALSE
"241","321730",2019-08-13,"transcutaneous central venous blood oximeter probe",FALSE,FALSE
"242","321731",2019-08-13,"arteriovenous shunt",FALSE,FALSE
"243","321732",2019-08-13,"arteriovenous shunt",FALSE,FALSE
"244","321734",2019-08-13,"warmer, instrument",FALSE,FALSE
"245","321735",2019-08-13,"oxygen cylinder regulator",FALSE,FALSE
"246","321740",2019-08-14,"multiple physiological parameter spot-check analysis system, clinical",FALSE,FALSE
"247","321743",2019-08-14,"tracheostomy tube neck holder, single-use",FALSE,FALSE
"248","321744",2019-08-14,"cover, shoe, <specify>",FALSE,FALSE
"249","321745",2019-08-14,"infusion regulator, pressure",FALSE,FALSE
"250","321780",2019-08-14,"acetabular shell",FALSE,FALSE
"251","321781",2019-08-14,"constrained polyethylene acetabular liner",FALSE,FALSE
"252","321800",2019-08-15,"washer, decontamination, utensil",FALSE,FALSE
"253","321802",2019-08-15,"carotid artery emboli protection system",FALSE,FALSE
"254","321803",2019-08-15,"compress, hot/cold pack, reusable",FALSE,FALSE
"255","321804",2019-08-15,"disability vehicle, cycle, tricycle, foot-propelled",FALSE,FALSE
"256","321805",2019-08-15,"custom-made anatomy model",FALSE,FALSE
"257","321806",2019-08-15,"custom-made anatomy model/surgical guide kit",FALSE,FALSE
"258","321807",2019-08-15,"mask, surgical, single use",TRUE,FALSE
"259","321808",2019-08-15,"bed, general-purpose, electrical",FALSE,FALSE
"260","321809",2019-08-15,"table, operation, <specify>",FALSE,FALSE
"261","321810",2019-08-15,"multi-purpose digital medical camera external ophthalmoscopic lens",FALSE,FALSE
"262","321815",2019-08-15,"skin photodynamic therapy/phototherapy lamp",FALSE,FALSE
"263","321816",2019-08-15,"dental impression tray material",FALSE,FALSE
"264","321817",2019-08-15,"denture base resin, cured",FALSE,FALSE
"265","321818",2019-08-15,"denture base resin, cured",FALSE,FALSE
"266","321819",2019-08-15,"analgesic spinal cord electrical stimulation system pulse generator",FALSE,FALSE
"267","321831",2019-08-15,"medical equipment drape, single-use, non-sterile",FALSE,FALSE
"268","321840",2019-08-16,"endodontic obturation system",FALSE,FALSE
"269","321841",2019-08-16,"orthodontic appliance, spring",FALSE,FALSE
"270","321842",2019-08-16,"orthodontic appliance, lock",FALSE,FALSE
"271","321843",2019-08-16,"orthodontic bracket, plastic",FALSE,FALSE
"272","321844",2019-08-16,"orthodontic inter-arch elastic band",FALSE,FALSE
"273","321845",2019-08-16,"medical gas delivery line filter, endoscopy",FALSE,FALSE
"274","321846",2019-08-16,"thermometer, electronic, intermittent",FALSE,FALSE
"275","321847",2019-08-16,"thermometer, infrared, ear",FALSE,FALSE
"276","321848",2019-08-16,"thermometer, infrared, skin",FALSE,TRUE
"277","321849",2019-08-16,"carbon dioxide cuvette, single-use",FALSE,FALSE
"278","321850",2019-08-16,"multiple physiological parameter spot-check analysis system, home-use",FALSE,FALSE
"279","321851",2019-08-16,"automatic-inflation electronic sphygmomanometer, portable, arm/wrist",FALSE,FALSE
"280","321852",2019-08-16,"self-retaining surgical retractor, single-use",FALSE,FALSE
"281","321853",2019-08-16,"computer, cardiac physiology",FALSE,FALSE
"282","321854",2019-08-16,"information system, cardiology",FALSE,FALSE
"283","321855",2019-08-16,"dental point, abrasive",FALSE,FALSE
"284","321856",2019-08-16,"non-implantable needle guide, single-use",FALSE,FALSE
"285","321857",2019-08-16,"surgical bulldog clamp, single-use",FALSE,FALSE
"286","321858",2019-08-16,"dressing, wound-nonadherent, absorbent",FALSE,FALSE
"287","321859",2019-08-16,"corneal trephine, single-use",FALSE,FALSE
"288","321860",2019-08-16,"cup, medicine",FALSE,FALSE
"289","321861",2019-08-16,"bowl, general purpose, single-use",FALSE,FALSE
"290","321862",2019-08-16,"cap, surgical, single use",FALSE,FALSE
"291","321863",2019-08-16,"cup, medicine",FALSE,FALSE
"292","321864",2019-08-16,"holder, tube, nasogastric",FALSE,FALSE
"293","321865",2019-08-16,"retractor, <specify>",FALSE,FALSE
"294","321866",2019-08-16,"radiology dicom image processing application software",FALSE,FALSE
"295","321867",2019-08-16,"bowl, general purpose, single-use",FALSE,FALSE
"296","321868",2019-08-16,"hearing aid remote control",FALSE,FALSE
"297","321869",2019-08-16,"prosthesis, external, leg, ankle/foot, component, <specify>",FALSE,FALSE
"298","321879",2019-08-16,"drill, dental, electrically powered handpiece",FALSE,FALSE
"299","321880",2019-08-16,"skin contouring system applicator tip, radio-frequency",FALSE,FALSE
"300","321900",2019-08-16,"pleural/peritoneal cavity drain-insertion set",FALSE,FALSE
"301","321920",2019-08-17,"endoscopic guidewire holder",FALSE,FALSE
"302","321940",2019-08-19,"transdermal needle roller, single-use",FALSE,FALSE
"303","321941",2019-08-19,"otoscope, <specify>",FALSE,FALSE
"304","321942",2019-08-19,"mount, <specify>",FALSE,FALSE
"305","321943",2019-08-19,"tray, instrument",FALSE,FALSE
"306","321944",2019-08-19,"mandible-repositioning antisnoring orthosis",FALSE,FALSE
"307","321961",2019-08-19,"vestibulo-auditory analysis system",FALSE,FALSE
"308","321962",2019-08-19,"bag, emesis",FALSE,FALSE
"309","321963",2019-08-19,"antiseptic swab",FALSE,FALSE
"310","321964",2019-08-19,"fixture/appliance dental drill, reusable",FALSE,FALSE
"311","321965",2019-08-19,"non-vascular catheter introduction set",FALSE,FALSE
"312","321966",2019-08-19,"lancet, manual, allergy testing",FALSE,FALSE
"313","321967",2019-08-19,"cad/cam unit, dental, laboratory",FALSE,FALSE
"314","321968",2019-08-19,"orthopaedic prosthesis implantation instrument, reusable",FALSE,FALSE
"315","321969",2019-08-19,"pillow, general-purpose",FALSE,FALSE
"316","321973",2019-08-19,"analgesic tens system",FALSE,FALSE
"317","321974",2019-08-19,"oximeter, pulse",FALSE,FALSE
"318","321975",2019-08-19,"cable, fibreoptic",FALSE,FALSE
"319","322000",2019-08-20,"single-chamber pacemaker, rate-responsive",FALSE,FALSE
"320","322001",2019-08-20,"dual-chamber pacemaker, rate-responsive",FALSE,FALSE
"321","322002",2019-08-20,"ct",FALSE,FALSE
"322","322003",2019-08-20,"ct",FALSE,FALSE
"323","322004",2019-08-20,"ct",FALSE,FALSE
"324","322006",2019-08-20,"surgical staple remover, single-use",FALSE,FALSE
"325","322007",2019-08-20,"massager, <specify>",FALSE,FALSE
"326","322008",2019-08-20,"ct",FALSE,FALSE
"327","322009",2019-08-20,"cad/cam unit, dental, chairside",FALSE,FALSE
"328","322020",2019-08-20,"urethral intravesical infusion tip",FALSE,FALSE
"329","322021",2019-08-20,"nebulizer, ultrasonic",FALSE,FALSE
"330","322040",2019-08-20,"endoscopic insufflation tubing set",FALSE,FALSE
"331","322060",2019-08-20,"orthodontic bracket, ceramic",FALSE,FALSE
"332","322061",2019-08-20,"orthodontic inter-arch elastic band",FALSE,FALSE
"333","322062",2019-08-20,"orthodontic inter-bracket elastic chain",FALSE,FALSE
"334","322082",2019-08-21,"angioplasty catheter, balloon dilatation, coronary, basic",FALSE,FALSE
"335","322083",2019-08-21,"central venous catheterization kit, short-term",FALSE,FALSE
"336","322084",2019-08-21,"dermatological nd:yag/frequency-doubled nd:yag laser system",FALSE,FALSE
"337","322085",2019-08-21,"skin-coring punch, single-use",FALSE,FALSE
"338","322088",2019-08-21,"electrode, transcutaneous, electrical nerve stimulation",FALSE,FALSE
"339","322090",2019-08-21,"syringe, general-purpose",FALSE,FALSE
"340","322091",2019-08-21,"skin contouring system, radio-frequency",FALSE,FALSE
"341","322092",2019-08-21,"orthopaedic implant aiming arm",FALSE,FALSE
"342","322093",2019-08-21,"elevator, orthopaedic",FALSE,FALSE
"343","322094",2019-08-21,"cryolipolysis skin contouring system",FALSE,FALSE
"344","322095",2019-08-21,"table, x-ray system, diagnostic, <specify>",FALSE,FALSE
"345","322121",2019-08-21,"catheter, valvuloplasty, balloon dilatation",FALSE,FALSE
"346","322122",2019-08-21,"tracheoesophageal speech valve occluder, non-valved",FALSE,FALSE
"347","322123",2019-08-21,"computer, cardiac catheterization laboratory",FALSE,FALSE
"348","322124",2019-08-21,"pulse oximeter, battery-powered",FALSE,FALSE
"349","322140",2019-08-22,"chest-oscillation airway secretion-clearing system",FALSE,FALSE
"350","322141",2019-08-22,"cochlear implant system electrode array assembly",FALSE,FALSE
"351","322142",2019-08-22,"cochlear implant system electrode array assembly",FALSE,FALSE
"352","322143",2019-08-22,"cochlear implant system electrode array assembly",FALSE,FALSE
"353","322144",2019-08-22,"cochlear implant implantable magnet",FALSE,FALSE
"354","322160",2019-08-22,"femoral stem centralizer",FALSE,FALSE
"355","322161",2019-08-22,"femoral stem end cap, non-bioabsorbable",FALSE,FALSE
"356","322162",2019-08-22,"surgical procedure kit, orthopaedic, reusable",FALSE,FALSE
"357","322163",2019-08-22,"retractor system, self-retaining",FALSE,FALSE
"358","322164",2019-08-22,"analyser software, application program",FALSE,FALSE
"359","322165",2019-08-22,"skin-cleaning wipe, non-sterile",FALSE,FALSE
"360","322167",2019-08-22,"skin-cleaning wipe, non-sterile",FALSE,FALSE
"361","322168",2019-08-22,"skin-cleaning wipe, non-sterile",FALSE,FALSE
"362","322169",2019-08-22,"skin-cleaning wipe, non-sterile",FALSE,FALSE
"363","322170",2019-08-22,"clamp, <specify>",FALSE,FALSE
"364","322171",2019-08-22,"orthosis, head, helmet",FALSE,FALSE
"365","322200",2019-08-23,"dispenser, cement, orthopaedic",FALSE,FALSE
"366","322201",2019-08-23,"sterile fluted surgical drill",FALSE,FALSE
"367","322202",2019-08-23,"dental bridge, polymer",FALSE,FALSE
"368","322203",2019-08-23,"ophthalmic binocular gauge",FALSE,FALSE
"369","322204",2019-08-23,"flowmeter, gas, calibration",FALSE,FALSE
"370","322205",2019-08-23,"oxygen therapy delivery system",FALSE,FALSE
"371","322207",2019-08-23,"bone matrix implant, synthetic",FALSE,FALSE
"372","322208",2019-08-23,"hernia aid, <specify>",FALSE,FALSE
"373","322209",2019-08-23,"hernia aid, <specify>",FALSE,FALSE
